year,pm,majority
1832,The Viscount Melbourne,225
1837,The Viscount Melbourne,29
1841,Sir Robert Peel,77
1847,Lord John Russell,-72
1852,The Earl of Derby,7
1857,The Viscount Palmerston,100
1859,The Viscount Palmerston,59
1868,William Ewart Gladstone,115
1874,Benjamin Disraeli,49
1880,William Ewart Gladstone,51
1885,William Ewart Gladstone,-16
1886,The Marquess of Salisbury,58
1895,The Marquess of Salisbury,153
1900,The Marquess of Salisbury,135
